0	0	0	0	0	0
0.883573	0.883573	0.883573	0.883573	0.883573	0.883573
1.5708	1.5708	1.5708	1.5708	1.5708	1.5708
1.5708	1.5708	1.5708	1.5708	1.5708	1.5708
1.5708	1.5708	1.5708	1.5708	1.5708	1.5708
1.5708	1.5708	1.5708	1.5708	1.5708	1.5708
0.981748	0.981748	0.981748	0.981748	0.981748	0.981748
0.0981748	0.0981748	0.0981748	0.0981748	0.0981748	0.0981748
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
-0.294524	-0.294524	-0.294524	-0.294524	-0.294524	-0.294524
-1.1781	-1.1781	-1.1781	-1.1781	-1.1781	-1.1781
-1.5708	-1.5708	-1.5708	-1.5708	-1.5708	-1.5708
-1.5708	-1.5708	-1.5708	-1.5708	-1.5708	-1.5708
-1.5708	-1.5708	-1.5708	-1.5708	-1.5708	-1.5708
-1.5708	-1.5708	-1.5708	-1.5708	-1.5708	-1.5708
-0.687223	-0.687223	-0.687223	-0.687223	-0.687223	-0.687223
0	0	0	0	0	0
